,State-County,Area_Name
0,01001,Autauga County
1,01003,Baldwin County
2,01005,Barbour County
3,01007,Bibb County
4,01009,Blount County
5,01011,Bullock County
6,01013,Butler County
7,01015,Calhoun County
8,01017,Chambers County
9,01019,Cherokee County
10,01021,Chilton County
11,01023,Choctaw County
12,01025,Clarke County
13,01027,Clay County
14,01029,Cleburne County
15,01031,Coffee County
16,01033,Colbert County
17,01035,Conecuh County
18,01037,Coosa County
19,01039,Covington County
20,01041,Crenshaw County
21,01043,Cullman County
22,01045,Dale County
23,01047,Dallas County
24,01049,DeKalb County
25,01051,Elmore County
26,01053,Escambia County
27,01055,Etowah County
28,01057,Fayette County
29,01059,Franklin County
30,01061,Geneva County
31,01063,Greene County
32,01065,Hale County
33,01067,Henry County
34,01069,Houston County
35,01071,Jackson County
36,01073,Jefferson County
37,01075,Lamar County
38,01077,Lauderdale County
39,01079,Lawrence County
40,01081,Lee County
41,01083,Limestone County
42,01085,Lowndes County
43,01087,Macon County
44,01089,Madison County
45,01091,Marengo County
46,01093,Marion County
47,01095,Marshall County
48,01097,Mobile County
49,01099,Monroe County
50,01101,Montgomery County
51,01103,Morgan County
52,01105,Perry County
53,01107,Pickens County
54,01109,Pike County
55,01111,Randolph County
56,01113,Russell County
57,01115,St. Clair County
58,01117,Shelby County
59,01119,Sumter County
60,01121,Talladega County
61,01123,Tallapoosa County
62,01125,Tuscaloosa County
63,01127,Walker County
64,01129,Washington County
65,01131,Wilcox County
66,01133,Winston County
67,02013,Aleutians East Borough
68,02016,Aleutians West Census Area
69,02020,Anchorage Municipality
70,02050,Bethel Census Area
71,02060,Bristol Bay Borough
72,02068,Denali Borough
73,02070,Dillingham Census Area
74,02090,Fairbanks North Star Borough
75,02100,Haines Borough
76,02105,Hoonah-Angoon Census Area
77,02110,Juneau City and Borough
78,02122,Kenai Peninsula Borough
79,02130,Ketchikan Gateway Borough
80,02150,Kodiak Island Borough
81,02158,Kusilvak Census Area
82,02164,Lake and Peninsula Borough
83,02170,Matanuska-Susitna Borough
84,02180,Nome Census Area
85,02185,North Slope Borough
86,02188,Northwest Arctic Borough
87,02195,Petersburg Borough
88,02198,Prince of Wales-Hyder Census Area
89,02220,Sitka City and Borough
90,02230,Skagway Municipality
91,02240,Southeast Fairbanks Census Area
92,02261,Valdez-Cordova Census Area
93,02275,Wrangell City and Borough
94,02282,Yakutat City and Borough
95,02290,Yukon-Koyukuk Census Area
96,04001,Apache County
97,04003,Cochise County
98,04005,Coconino County
99,04007,Gila County
100,04009,Graham County
101,04011,Greenlee County
102,04012,La Paz County
103,04013,Maricopa County
104,04015,Mohave County
105,04017,Navajo County
106,04019,Pima County
107,04021,Pinal County
108,04023,Santa Cruz County
109,04025,Yavapai County
110,04027,Yuma County
111,05001,Arkansas County
112,05003,Ashley County
113,05005,Baxter County
114,05007,Benton County
115,05009,Boone County
116,05011,Bradley County
117,05013,Calhoun County
118,05015,Carroll County
119,05017,Chicot County
120,05019,Clark County
121,05021,Clay County
122,05023,Cleburne County
123,05025,Cleveland County
124,05027,Columbia County
125,05029,Conway County
126,05031,Craighead County
127,05033,Crawford County
128,05035,Crittenden County
129,05037,Cross County
130,05039,Dallas County
131,05041,Desha County
132,05043,Drew County
133,05045,Faulkner County
134,05047,Franklin County
135,05049,Fulton County
136,05051,Garland County
137,05053,Grant County
138,05055,Greene County
139,05057,Hempstead County
140,05059,Hot Spring County
141,05061,Howard County
142,05063,Independence County
143,05065,Izard County
144,05067,Jackson County
145,05069,Jefferson County
146,05071,Johnson County
147,05073,Lafayette County
148,05075,Lawrence County
149,05077,Lee County
150,05079,Lincoln County
151,05081,Little River County
152,05083,Logan County
153,05085,Lonoke County
154,05087,Madison County
155,05089,Marion County
156,05091,Miller County
157,05093,Mississippi County
158,05095,Monroe County
159,05097,Montgomery County
160,05099,Nevada County
161,05101,Newton County
162,05103,Ouachita County
163,05105,Perry County
164,05107,Phillips County
165,05109,Pike County
166,05111,Poinsett County
167,05113,Polk County
168,05115,Pope County
169,05117,Prairie County
170,05119,Pulaski County
171,05121,Randolph County
172,05123,St. Francis County
173,05125,Saline County
174,05127,Scott County
175,05129,Searcy County
176,05131,Sebastian County
177,05133,Sevier County
178,05135,Sharp County
179,05137,Stone County
180,05139,Union County
181,05141,Van Buren County
182,05143,Washington County
183,05145,White County
184,05147,Woodruff County
185,05149,Yell County
186,06001,Alameda County
187,06003,Alpine County
188,06005,Amador County
189,06007,Butte County
190,06009,Calaveras County
191,06011,Colusa County
192,06013,Contra Costa County
193,06015,Del Norte County
194,06017,El Dorado County
195,06019,Fresno County
196,06021,Glenn County
197,06023,Humboldt County
198,06025,Imperial County
199,06027,Inyo County
200,06029,Kern County
201,06031,Kings County
202,06033,Lake County
203,06035,Lassen County
204,06037,Los Angeles County
205,06039,Madera County
206,06041,Marin County
207,06043,Mariposa County
208,06045,Mendocino County
209,06047,Merced County
210,06049,Modoc County
211,06051,Mono County
212,06053,Monterey County
213,06055,Napa County
214,06057,Nevada County
215,06059,Orange County
216,06061,Placer County
217,06063,Plumas County
218,06065,Riverside County
219,06067,Sacramento County
220,06069,San Benito County
221,06071,San Bernardino County
222,06073,San Diego County
223,06075,San Francisco County
224,06077,San Joaquin County
225,06079,San Luis Obispo County
226,06081,San Mateo County
227,06083,Santa Barbara County
228,06085,Santa Clara County
229,06087,Santa Cruz County
230,06089,Shasta County
231,06091,Sierra County
232,06093,Siskiyou County
233,06095,Solano County
234,06097,Sonoma County
235,06099,Stanislaus County
236,06101,Sutter County
237,06103,Tehama County
238,06105,Trinity County
239,06107,Tulare County
240,06109,Tuolumne County
241,06111,Ventura County
242,06113,Yolo County
243,06115,Yuba County
244,08001,Adams County
245,08003,Alamosa County
246,08005,Arapahoe County
247,08007,Archuleta County
248,08009,Baca County
249,08011,Bent County
250,08013,Boulder County
251,08014,Broomfield County
252,08015,Chaffee County
253,08017,Cheyenne County
254,08019,Clear Creek County
255,08021,Conejos County
256,08023,Costilla County
257,08025,Crowley County
258,08027,Custer County
259,08029,Delta County
260,08031,Denver County
261,08033,Dolores County
262,08035,Douglas County
263,08037,Eagle County
264,08039,Elbert County
265,08041,El Paso County
266,08043,Fremont County
267,08045,Garfield County
268,08047,Gilpin County
269,08049,Grand County
270,08051,Gunnison County
271,08053,Hinsdale County
272,08055,Huerfano County
273,08057,Jackson County
274,08059,Jefferson County
275,08061,Kiowa County
276,08063,Kit Carson County
277,08065,Lake County
278,08067,La Plata County
279,08069,Larimer County
280,08071,Las Animas County
281,08073,Lincoln County
282,08075,Logan County
283,08077,Mesa County
284,08079,Mineral County
285,08081,Moffat County
286,08083,Montezuma County
287,08085,Montrose County
288,08087,Morgan County
289,08089,Otero County
290,08091,Ouray County
291,08093,Park County
292,08095,Phillips County
293,08097,Pitkin County
294,08099,Prowers County
295,08101,Pueblo County
296,08103,Rio Blanco County
297,08105,Rio Grande County
298,08107,Routt County
299,08109,Saguache County
300,08111,San Juan County
301,08113,San Miguel County
302,08115,Sedgwick County
303,08117,Summit County
304,08119,Teller County
305,08121,Washington County
306,08123,Weld County
307,08125,Yuma County
308,09001,Fairfield County
309,09003,Hartford County
310,09005,Litchfield County
311,09007,Middlesex County
312,09009,New Haven County
313,09011,New London County
314,09013,Tolland County
315,09015,Windham County
316,10001,Kent County
317,10003,New Castle County
318,10005,Sussex County
319,11001,District of Columbia
320,12001,Alachua County
321,12003,Baker County
322,12005,Bay County
323,12007,Bradford County
324,12009,Brevard County
325,12011,Broward County
326,12013,Calhoun County
327,12015,Charlotte County
328,12017,Citrus County
329,12019,Clay County
330,12021,Collier County
331,12023,Columbia County
332,12027,DeSoto County
333,12029,Dixie County
334,12031,Duval County
335,12033,Escambia County
336,12035,Flagler County
337,12037,Franklin County
338,12039,Gadsden County
339,12041,Gilchrist County
340,12043,Glades County
341,12045,Gulf County
342,12047,Hamilton County
343,12049,Hardee County
344,12051,Hendry County
345,12053,Hernando County
346,12055,Highlands County
347,12057,Hillsborough County
348,12059,Holmes County
349,12061,Indian River County
350,12063,Jackson County
351,12065,Jefferson County
352,12067,Lafayette County
353,12069,Lake County
354,12071,Lee County
355,12073,Leon County
356,12075,Levy County
357,12077,Liberty County
358,12079,Madison County
359,12081,Manatee County
360,12083,Marion County
361,12085,Martin County
362,12086,Miami-Dade County
363,12087,Monroe County
364,12089,Nassau County
365,12091,Okaloosa County
366,12093,Okeechobee County
367,12095,Orange County
368,12097,Osceola County
369,12099,Palm Beach County
370,12101,Pasco County
371,12103,Pinellas County
372,12105,Polk County
373,12107,Putnam County
374,12109,St. Johns County
375,12111,St. Lucie County
376,12113,Santa Rosa County
377,12115,Sarasota County
378,12117,Seminole County
379,12119,Sumter County
380,12121,Suwannee County
381,12123,Taylor County
382,12125,Union County
383,12127,Volusia County
384,12129,Wakulla County
385,12131,Walton County
386,12133,Washington County
387,13001,Appling County
388,13003,Atkinson County
389,13005,Bacon County
390,13007,Baker County
391,13009,Baldwin County
392,13011,Banks County
393,13013,Barrow County
394,13015,Bartow County
395,13017,Ben Hill County
396,13019,Berrien County
397,13021,Bibb County
398,13023,Bleckley County
399,13025,Brantley County
400,13027,Brooks County
401,13029,Bryan County
402,13031,Bulloch County
403,13033,Burke County
404,13035,Butts County
405,13037,Calhoun County
406,13039,Camden County
407,13043,Candler County
408,13045,Carroll County
409,13047,Catoosa County
410,13049,Charlton County
411,13051,Chatham County
412,13053,Chattahoochee County
413,13055,Chattooga County
414,13057,Cherokee County
415,13059,Clarke County
416,13061,Clay County
417,13063,Clayton County
418,13065,Clinch County
419,13067,Cobb County
420,13069,Coffee County
421,13071,Colquitt County
422,13073,Columbia County
423,13075,Cook County
424,13077,Coweta County
425,13079,Crawford County
426,13081,Crisp County
427,13083,Dade County
428,13085,Dawson County
429,13087,Decatur County
430,13089,DeKalb County
431,13091,Dodge County
432,13093,Dooly County
433,13095,Dougherty County
434,13097,Douglas County
435,13099,Early County
436,13101,Echols County
437,13103,Effingham County
438,13105,Elbert County
439,13107,Emanuel County
440,13109,Evans County
441,13111,Fannin County
442,13113,Fayette County
443,13115,Floyd County
444,13117,Forsyth County
445,13119,Franklin County
446,13121,Fulton County
447,13123,Gilmer County
448,13125,Glascock County
449,13127,Glynn County
450,13129,Gordon County
451,13131,Grady County
452,13133,Greene County
453,13135,Gwinnett County
454,13137,Habersham County
455,13139,Hall County
456,13141,Hancock County
457,13143,Haralson County
458,13145,Harris County
459,13147,Hart County
460,13149,Heard County
461,13151,Henry County
462,13153,Houston County
463,13155,Irwin County
464,13157,Jackson County
465,13159,Jasper County
466,13161,Jeff Davis County
467,13163,Jefferson County
468,13165,Jenkins County
469,13167,Johnson County
470,13169,Jones County
471,13171,Lamar County
472,13173,Lanier County
473,13175,Laurens County
474,13177,Lee County
475,13179,Liberty County
476,13181,Lincoln County
477,13183,Long County
478,13185,Lowndes County
479,13187,Lumpkin County
480,13189,McDuffie County
481,13191,McIntosh County
482,13193,Macon County
483,13195,Madison County
484,13197,Marion County
485,13199,Meriwether County
486,13201,Miller County
487,13205,Mitchell County
488,13207,Monroe County
489,13209,Montgomery County
490,13211,Morgan County
491,13213,Murray County
492,13215,Muscogee County
493,13217,Newton County
494,13219,Oconee County
495,13221,Oglethorpe County
496,13223,Paulding County
497,13225,Peach County
498,13227,Pickens County
499,13229,Pierce County
500,13231,Pike County
501,13233,Polk County
502,13235,Pulaski County
503,13237,Putnam County
504,13239,Quitman County
505,13241,Rabun County
506,13243,Randolph County
507,13245,Richmond County
508,13247,Rockdale County
509,13249,Schley County
510,13251,Screven County
511,13253,Seminole County
512,13255,Spalding County
513,13257,Stephens County
514,13259,Stewart County
515,13261,Sumter County
516,13263,Talbot County
517,13265,Taliaferro County
518,13267,Tattnall County
519,13269,Taylor County
520,13271,Telfair County
521,13273,Terrell County
522,13275,Thomas County
523,13277,Tift County
524,13279,Toombs County
525,13281,Towns County
526,13283,Treutlen County
527,13285,Troup County
528,13287,Turner County
529,13289,Twiggs County
530,13291,Union County
531,13293,Upson County
532,13295,Walker County
533,13297,Walton County
534,13299,Ware County
535,13301,Warren County
536,13303,Washington County
537,13305,Wayne County
538,13307,Webster County
539,13309,Wheeler County
540,13311,White County
541,13313,Whitfield County
542,13315,Wilcox County
543,13317,Wilkes County
544,13319,Wilkinson County
545,13321,Worth County
546,15001,Hawaii County
547,15003,Honolulu County
548,15005,Kalawao County
549,15007,Kauai County
550,15009,Maui County
551,16001,Ada County
552,16003,Adams County
553,16005,Bannock County
